notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/tmp_write_off_account.ipynb,tmp_evt_status (vc_data_dwh.db),PARQUET,tmp_write_off_account (vc_data_dwh.db),PARQUET
./dw_card/tmp_write_off_account.ipynb,tmp_account_aging_period_end_day (vc_data_dwh.db),PARQUET,,
./dw_card/tmp_write_off_account.ipynb,bo_scr_bucket (vc_cms.db),PARQUET,,
./dw_card/tmp_write_off_account.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_tcc_cms_account_dim.ipynb,scorecard_t_tcc_list (vc_osystem.db),PARQUET,dw_tcc_cms_account_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_tcc_cms_account_dim.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_tcc_cms_account_dim.ipynb,dw_card_loan_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_tcc_cms_account_dim.ipynb,dw_tcc_cms_account_dim_raw (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_gl_indue_overdue.ipynb,tmp_gl_invoice_aging_period_backup (vc_data_dwh.db),PARQUET,dw_account_gl_indue_overdue (vc_data_dwh.db),PARQUET
./dw_card/dw_account_gl_indue_overdue.ipynb,dw_account_gl_tmp_daily (vc_data_dwh.db),PARQUET,dw_account_gl_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_account_gl_fct.ipynb,tmp_gl_invoice_overdue_date_backup (vc_data_dwh.db),PARQUET,dw_account_gl_tmp_daily (vc_data_dwh.db),PARQUET
./dw_card/dw_account_gl_fct.ipynb,tmp_gl_invoice_aging_period_backup (vc_data_dwh.db),PARQUET,dw_account_gl_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_account_gl_fct.ipynb,bo_acc_entry (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_acc_macros (vc_cms.db),PARQUET,,
